Date,Temperature,Humidity,NO2,SO2,PM2.5
2 - May,30.66,43.0,7.6,18.4,21.3
3 - May,30.0,40.0,6.35,16.8,17.0
4 - May,29.3,38.0,6.2,17.2,18.4
5 - May,27.1,36.9,4.0,15.83,12.13
6 - May,28.4,37.87,5.3,17.07,16.13
7 - May,28.0,28.0,12.83,23.27,28.55
8 - May,33.0,32.7,5.87,17.45,16.27
9 - May,32.0,41.0,5.29,15.5,19.66
10 - May,34.33,31.33,5.24,14.13,15.7
11 - May,35.33,29.0,5.86,15.54,33.73
12 - May,36.0,29.0,6.12,15.81,25.33
13 - May,36.7,25.33,5.69,16.04,24.2
14 - May,37.0,22.0,5.53,16.33,27.0
15 - May,37.0,30.7,5.74,17.79,17.2
16 - May,35.66,30.33,6.11,19.14,29.46
17 - May,34.7,34.33,6.06,18.71,28.06
18 - May,34.33,35.33,5.97,20.16,25.0
19 - May,34.33,36.0,5.5,19.8,28.83
20 - May,34.0,33.33,5.83,18.7,19.96
21 - May,35.0,21.0,5.44,18.83,23.0
22 - May,30.66,41.7,5.37,16.96,12.23
23 - May,29.33,46.0,5.44,14.97,12.23
24 - May,30.0,46.0,5.3,14.33,12.25
25 - May,32.0,35.0,5.54,17.0,22.25
26 - May,31.7,33.33,6.43,22.05,39.33
27 - May,31.33,46.0,5.37,20.23,28.33
28 - May,31.0,47.0,5.4,20.4,25.0
29 - May,34.66,38.0,5.39,19.6,24.33
30 - May,34.33,38.77,5.07,19.6,21.66
31 - May,33.33,39.7,4.42,18.43,26.63
