Date,Temperature,Humidity,NO2,SO2,PM2.5
01-May,23,37,8.73,11.72,27.62
02-May,23.3,30,7.4,11.63,24.3
03-May,22.5,28,8.24,11.81,22.3
04-May,24.5,54.3,10.3,15.7,18.3
05-May,22.5,44,12.6,14.9,16.4
06-May,25,33,13.74,14.78,11.47
07-May,26.5,27,14.31,16.2,11.52
08-May,27.5,43.7,11.34,14.56,19.43
09-May,25,48,10.92,13.7,20.03
10-May,27.5,55.6,11.86,13.51,20.85
11-May,22.33,76.3,11.53,12.86,20.13
12-May,23,78,11.83,14.7,22.27
13-May,28.5,53,12.6,16.3,11.47
14-May,22.5,40,13.11,17.6,22.6
15-May,23,38,13.22,17.2,13.5
16-May,28,31,14.3,15.37,16.2
17-May,22.5,45,14.6,14.3,15.45
18-May,26.3,40,15.8,10.06,16.37
19-May,24.33,59,16.28,18.89,29.35
20-May,26.5,53.7,9.93,12.83,28.57
21-May,28.5,49.6,10.18,13.6,27.36
22-Mar,30.5,35,11.6,12.82,31.4
23-May,29.5,78,10.88,13.68,21.8
24-May,29,66,11.73,14.71,29.64
25-May,31.5,50,10.51,23.6,23.8
26-May,32.1,39,11.9,16.8,18.43
27-May,32,44,13.6,18.1,20.11
28-May,31.5,58.33,13.34,17.54,18.45
29-May,29.5,63,12.83,15.81,26.32
30-May,28.6,48,12.61,16.6,17.8
31-May,29.5,45,14.4,17.33,16.23
