Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Jul,31,68,3.72,12.4,11.5
2 - Jul,31.5,66,3.6,13.6,15.6
3 - Jul,31.7,61.7,4.02,16.03,28.2
4 - Jun,30.33,72,3.81,12.23,16
5 - Jul,30.7,82.7,3.94,13.15,30.8
6 - Jul,30,72,3.96,13.4,24
7 - Jul,30.33,56,3.78,11.6,21
8 - Jul,31,58,4.07,13.4,24
9 - Jul,31.5,61,3.87,13.12,22
10 - Jul,31,73,4.13,12.5,24
11 - Jul,30.5,76,4.05,13.1,27
12 - Jul,30.33,77.66,3.89,12.4,19.33
13 - Jul,28.33,84.33,3.43,11.42,12
14 - Jul,29.33,73.7,3.47,11.63,13.7
15 - Jul,28.5,78,3.2,11.2,12.6
16 - Jul,30,69,3.24,10.4,10
17 - Jul,30.33,62.7,3.41,12.32,20.56
18 - Jul,32,61,3.24,12.95,21
19 - Jul,33,64,3.3,12.56,16
20 - Jul,28.7,87,3.23,12.43,14.33
21 - Jul,28.33,88.33,3.24,11.7,9.66
22 - Jul,28,77,3.3,10.45,10
23 - Jul,28.5,64,3.51,10.6,13.9
24 - Jul,27.66,50.33,3.91,13.07,15.76
25 - Jul,30,83,3.63,12.3,23
26 - Jul,29,81,3.54,11.12,15.33
27 - Jul,27.33,83,3.62,10.71,15.66
28 - Jul,27,85.7,3.64,12.52,21.33
29 - Jul,26,98,3.05,11.2,12
30 - Jul,26.5,92,3.45,11.47,20
31 - Jul,26,89,2.87,9.88,8.66
