Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Jan,6,26,19.2,26.2,48.9
02-Jan,6,68,23.6,37.1,56.4
03-Jan,6,96,18.21,31.6,38.3
04-Jan,6,88,20.9,32.4,44.9
05-Jan,11,100,13.72,21.9,23.61
06-Jan,8.6,79.33,14.46,21.8,24.76
07-Jan,9,57,22.03,32.96,41.9
08-Jan,8,86,25.8,40.6,59.2
09-Jan,7,71,24.6,41.5,57.6
10-Jan,8,62.7,31.7,41.36,61.55
11-Jan,8.5,71.33,37.92,45.65,74.82
12-Jan,8.3,56.33,37.8,40.43,57.8
13-Jan,8,56.33,29.26,39.06,60.57
14-Jan,8.5,63,32.6,42.6,71.4
15-Jan,8,62,33.7,40.3,68.9
16-Jan,8.3,56,34.6,42.8,73.4
17-Jan,9,51.33,33.58,43.16,78.44
18-Jan,8,42,34.6,43.21,76.8
19-Jan,9,48.66,32.63,41.15,59.58
20-Jan,9.6,39,32.06,40.77,56.42
21-Jan,9,43,33.4,40.1,56.3
22-Jan,8,61,19.8,26.8,40.8
23-Jan,8,68,20.77,27.2,42.9
24-Jan,8.5,48,21.8,25.9,44.9
25-Jan,8,38,25.4,30.3,49.5
26-Jan,9.33,45.7,31.18,39.4,57.79
27-Jan,8.3,37,24.7,29.4,46.5
28-Jan,9,43,25.4,31.2,48.3
29-Jan,8,35,22.6,28.7,43.8
30-Jan,9,52,24.31,31.2,46.42
31-Jan,8.3,62,26.26,36.8,58.7
