Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Jul,41,15,8.9,19.6,32.9
2 - Jul,40,20,5.7,13.8,31
3 - Jul,40,30,6.88,15.6,10
4 - Jul,38,45,7.2,16.44,20
5 - Jul,38,38,9.6,17.5,15.2
6 - Jul,37,35,7.6,19.2,20.6
7 - Jul,38,40,8.2,18.3,21
8 - Jul,39,18,7.6,17.2,18.6
9 - Jul,38,53,4,8.6,7.8
10 - Jul,37,56,4.3,10.2,9.5
11 - Jul,38,32,4.9,12.8,13.2
12 - Jul,37,51,3.8,11.77,9.88
13 - Jul,35,69,4.5,13.6,14.3
14 - Jul,31,64,3.8,9.6,8.78
15 - Jul,32,30,5.2,13,13.4
16 - Jul,32,62,3.92,11.8,11.3
17 - Jul,33,30,11.3,22.3,33.5
18 - Jul,32,48,13.2,27.9,40.6
19 - Jul,30,80,10.6,20.8,26.9
20 - Jul,29,86,7.6,18.7,20.4
21 - Jul,29,73,8.88,20.6,23.5
22 - Jul,29,61,8.6,18.3,18.6
23 - Jul,28,48,8.44,17.2,17.8
24 - Jul,28,55,6.8,14.6,18.6
25 - Jul,27,53,6.1,10.6,12.6
26 - Jul,27,58,7,10.8,11.3
27 - Jul,27,62,4.6,11.8,9.7
28 - Jul,26,94,5.3,10.2,8.6
29 - Jul,26,83,6.11,9.2,12.3
30 - Jul,26,68,7.2,11.4,12.6
31 - Jul,26,64,7.2,11.4,13.4
