Date,Temperature,Humidity,NO2,SO2,PM2.5
1-Feb-2020,13.45,33.40,27.36,35.60,58.00
2-Feb-2020,13.70,32.30,26.03,34.21,65.73
3-Feb-2020,13.43,50.33,27.58,33.90,79.36
4-Feb-2020,13.51,46.10,26.30,32.70,77.00
5-Feb-2020,13.80,41.33,23.51,31.13,65.06
6-Feb-2020,12.87,54.33,25.05,29.67,48.40
7-Feb-2020,13.20,56.20,24.60,35.60,79.00
8-Feb-2020,13.71,55.80,25.20,31.90,82.00
9-Feb-2020,14.43,57.66,23.66,32.35,75.87
10-Feb-2020,15.06,46.33,28.92,44.25,103.04
11-Feb-2020,14.56,59.00,30.00,44.21,92.23
12-Feb-2020,14.00,65.00,23.93,32.49,87.91
13-Feb-2020,14.60,71.40,21.53,29.21,66.66
14-Feb-2020,15.33,73.70,18.72,25.94,29.65
15-Feb-2020,17.33,46.66,20.23,23.53,26.96
16-Feb-2020,16.70,43.00,21.40,25.00,21.16
17-Feb-2020,17.33,32.00,23.96,27.93,33.41
18-Feb-2020,17.70,22.33,24.13,30.06,72.00
19-Feb-2020,19.66,72.33,25.26,23.80,38.50
20-Feb-2020,17.33,92.66,23.86,23.06,21.25
21-Feb-2020,17.81,81.20,32.80,28.40,73.00
22-Feb-2020,18.80,74.60,29.51,24.30,32.00
23-Feb-2020,20.66,68.33,26.46,30.20,40.43
24-Feb-2020,20.00,66.33,28.30,30.50,39.33
25-Feb-2020,20.33,47.33,28.43,30.83,48.10
26-Feb-2020,20.70,42.00,30.93,33.66,56.70
27-Feb-2020,20.33,71.00,30.70,33.66,55.33
28-Feb-2020,20.58,73.13,24.60,30.73,47.00
29-Feb-2020,20.70,64.40,22.82,27.34,26.00
