Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Mar,18,83.7,20.03,21.24,28.7
02-Mar,19.7,55.33,18.4,19.53,29.7
03-Mar,19.33,55.33,20.4,23.6,47.07
04-Mar,17.7,97.7,20.66,22.1,34.66
05-Mar,16.5,92.2,20.31,23.4,27.2
06-Mar,16.33,94,20.44,24.43,25
07-Mar,16.2,90.2,20.8,24.6,20.3
08-Mar,16,88.7,22.51,26.06,21.54
09-Mar,17.33,56.4,23.6,26.8,28.4
10-Mar,17.66,45.33,25.08,27.15,53.46
11-Mar,15.66,88.7,21.52,24.86,25.75
12-Mar,14.7,97.33,19.83,23.33,17.83
13-Mar,16,63.7,19.1,22.73,24.1
14-Mar,17.33,61.7,19.4,23.4,31.2
15-Mar,18.7,63.33,19.7,23.6,33.33
16-Mar,16,56.66,18.54,23.2,35
17-Mar,16.7,53,16.9,23.96,34.05
18-Mar,17.33,52.33,19.3,26.23,41.31
19-Mar,17.66,47,18.04,23.8,32.46
20-Mar,18.33,42.33,16.96,19.43,19.74
21-Mar,17.2,54.8,16.8,19.31,20.4
22-Mar,16.8,70,16.6,19.4,22.6
23-Mar,16.6,83.6,16.5,19.21,17.8
24-Mar,16.33,94.66,16.1,19.5,16.67
25-Mar,17.33,87.7,15.36,18.86,21.8
26-Mar,17.7,59,14.26,14.93,18.97
27-Mar,17.7,96,12.93,13.3,16.17
28-Mar,17.33,88,11.8,14.4,10.9
29-Mar,17.13,75.3,12.6,15.2,13.6
30-Mar,16.8,68.1,10.6,13.6,14.4
31-Mar,17.66,60.6,12.1,14.7,16.8
