Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Apr,18.3,88,8.14,11.63,9.63
02-Apr,18.8,46,8.47,11.24,12.6
03-Apr,19,87,9.24,12.6,11.43
04-Apr,18,52,10.3,12.47,11.61
05-Apr,18.8,87,9.87,12.35,12.46
06-Apr,19,37,8.93,14.6,14.63
07-Apr,20,43,10.3,13.8,12.4
08-Apr,21,45,10.5,13.93,21.3
09-Apr,18.33,54.33,11.4,14.06,19.54
10-Apr,18.8,50.33,9.61,13.4,18.63
11-Apr,18.3,42.6,9.45,13.16,15.34
12-Apr,19.7,38.33,10.23,12.86,24.04
13-Apr,19.66,53.6,10.6,13.66,16.34
14-Apr,18.66,55.3,10.42,14.13,14.79
15-Apr,19.33,62.3,9.88,13.72,13.75
16-Apr,19.11,78.1,9.53,14.37,14.62
17-Apr,19,97.33,9.26,11.4,15.45
18-Apr,19.33,63,8.92,10.06,12.84
19-Apr,20,46.7,8.46,10.11,13.52
20-Apr,19.33,53.7,9.93,12.83,18.47
21-Apr,20.33,49.6,10.18,13.6,19.11
22-Mar,20.66,45,10.06,12.82,21.33
23-Apr,19.66,50,11.34,13.68,20.6
24-Apr,20.11,48,10.66,14.71,19.22
25-Apr,20.33,100,10.78,15.23,18.6
26-Apr,19.66,67.33,9.4,11.63,23.89
27-Apr,20.33,88.7,9.36,12.84,20.9
28-Apr,20.33,55.33,13.34,15.46,30.69
29-Apr,20.4,44,12.83,15.81,26.32
30-Apr,20.66,38,12.61,16.56,26.06
