Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Feb,9.7,75.33,8.94,20.12,62.5
2 - Feb,9,77.33,8.36,20.35,61.17
3 - Feb,8.33,82.33,8.86,20.3,24.86
4 - Feb,8.5,63,9.67,20.21,52.43
5 - Feb,8.7,71,10.33,20.86,66.4
6 - Feb,9,75,9.18,20.49,73.4
7 - Feb,9.66,65.66,9.7,19.75,38.83
8 - Feb,9.5,58.6,10.51,19.58,54.58
9 - Feb,9.66,56.66,8.53,18.8,26.76
10 - Feb,10,44.33,9.03,19.73,49.35
11 - Feb,10.5,33,9.6,20.2,51.44
12 - Feb,11.5,42,10.48,20.7,78.84
13 - Feb,12,46,11.7,20.9,70.92
14 - Feb,12.33,51,11.34,21.52,68.57
15 - Feb,13.7,44,11.7,23.4,57.5
16 - Feb,14.33,36.7,11.96,20.91,63.31
17 - Feb,14.8,43,11.51,22.87,57.6
18 - Feb,15.33,49,11.2,23.8,49.4
19 - Feb,15.3,36,10.3,20.3,23.66
20 - Feb,15.5,38,10.42,20.1,226
21 - Feb,15.66,51.66,11.7,20.92,39.99
22 - Feb,14,70,10.61,19.88,54.66
23 - Feb,14.7,86.33,9.57,25.44,45.96
24 - Feb,14.33,85,9.93,18.82,75.11
25 - Feb,14,93,9.52,18.62,36.28
26 - Feb,14.5,90,9.7,18.68,41.16
27 - Feb,15,61.7,9.44,18.1,41.88
28 - Feb,15.33,44.33,11.41,23.19,45.61
