Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Jun,29,37,8.73,11.72,23.62
02-Jun,31.3,30,7.4,11.63,20.8
03-Jun,29.5,28,8.24,11.81,22.3
04-Jun,30.33,54.3,10.3,15.7,18.3
05-Jun,33.3,44,12.6,14.9,16.4
06-Jun,31.5,33,13.74,14.78,13.2
07-Jun,33.4,27,14.31,16.2,12.61
08-Jun,31.5,43.7,11.34,14.56,17.5
09-Jun,25,48,10.92,13.7,18.3
10-Jun,27.5,55.6,11.86,13.51,18.8
11-Jun,31,76.3,11.53,12.86,20.13
12-Jun,30.6,78,11.83,14.7,16.3
13-Jun,32.5,53,12.6,16.3,15.41
14-Jun,31.8,40,13.11,17.6,13.66
15-Jun,31.33,38,13.22,17.2,18.6
16-Jun,30,15,16,22.23,21.3
17-Jun,30.33,15.7,16.53,22.82,21.45
18-Jun,30.66,40,15.8,10.06,20.13
19-Jun,32.4,59,16.28,18.89,18.22
20-Jun,34,53.7,9.93,12.83,19.8
21-Jun,31.33,49.6,10.18,13.6,27.3
22-Jun,32.5,35,11.6,12.82,33.8
23-Jun,32,47.66,15.4,21.09,22.74
24-Jun,33.5,50,10.3,14.5,20.6
25-Jun,32.8,58,14.7,15.3,20.38
26-Jun,33,56,13.8,16.5,21.46
27-Jun,32,78,14.31,16.2,15.8
28-Jun,31,83,11.88,15.11,15.4
29-Jun,33.3,53,13.1,14.6,19.3
30-Jun,32.7,38,14.2,14.87,22.86
