Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Jan,8,69,19.2,21.3,112.45
2 - Jan,8.5,63,23.6,19.45,72.6
3 - Jan,10.7,67,21.35,19.81,80.41
4 - Jan,9.7,90,7.89,18.34,43.31
5 - Jan,9,89.33,7.61,20.37,35.8
6 - Jan,,91.7,7.72,19.66,57.83
7 - Jan,,90.1,7.45,18.83,44.67
8 - Jan,8.33,77.4,8.2,18.42,21
9 - Jan,8.6,74.33,9.41,18.7,35.41
10 - Jan,8,55.33,9.23,19.19,51.2
11 - Jan,8.7,47,10.25,18.46,58.75
12 - Jan,8.3,44.33,11.57,20.12,93.65
13 - Jan,8.7,43,11.32,21.31,104.21
14 - Jan,8.5,44,12.22,20.34,108.42
15 - Jan,8.33,73,10.82,19.39,130.3
16 - Jan,8,74.33,11.24,19.19,131.09
17 - Jan,8.8,78,9.25,19.77,145.76
18 - Jan,8.7,80.33,9.14,20.22,120.06
19 - Jan,8,83,8.09,19.78,81.17
20 - Jan,8.7,87,8.82,19.72,108.06
21 - Jan,8.3,90,8.41,19.61,60.8
22 - Jan,8,93,8.03,18.7,20.9
23 - Jan,7.7,89.33,8.5,19.31,25.12
24 - Jan,7,87.33,7.99,18.58,39.13
25 - Jan,7.33,82.66,8.26,17.91,46.59
26 - Jan,7.7,72.33,8.18,18.31,53.44
27 - Jan,8.33,60.33,7.96,18.39,65.31
28 - Jan,8,45,8.66,18.81,80.34
29 - Jan,8.5,52.9,9.42,19.04,125.73
30 - Jan,8.7,55.7,9.69,19.3,90.96
31 - Jan,9,63.7,10.4,20.17,102.7
