Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Jun,28,34,7.3,11.8,10
02-Jun,29,39,6,12.6,13.6
03-Jun,28,49,9.2,15.8,15
04-Jun,29,43,8.3,14.2,11.5
05-Jun,30,45,11.9,16.8,23.8
06-Jun,30,32,14,20.3,34.6
07-Jun,31,44,14.2,23.6,35.8
08-Jun,32,29,13.4,22.4,33.4
09-Jun,32,27,14.6,24.1,36.9
10-Jun,34,26.7,18.86,21.4,33.6
11-Jun,33,50,9.8,22.6,38
12-Jun,32,48,6.9,13.2,20.6
13-Jun,32,45,8.6,12.7,15.3
14-Jun,33,52,11,15.8,25
15-Jun,32,25,12.6,14.3,17.2
16-Jun,31,55,6.3,12.22,11.6
17-Jun,32,33,6.88,14.3,14.5
18-Jun,32,22,12.3,20.1,23
19-Jun,32,31,8.9,18.3,18.6
20-Jun,31,30,7.4,15.6,15.4
21-Jun,31,35,6.8,12.3,19.5
22-Jun,32,31,7.3,16.3,13.4
23-Jun,32,30,8.9,17.6,16.2
24-Jun,33,18,7.9,16.8,14.6
25-Jun,34,59,6.2,15.6,13.2
26-Jun,31,40,6.3,12.2,10
27-Jun,32,49,5.7,13.8,13.9
28-Jun,34,46,6.88,15.6,18.7
29-Jun,35,20,7.2,16.44,19.5
30-Jun,36,16,9.6,17.5,23.5
