Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Mar,20,30,16.2,23.6,17
02-Mar,19.66,39.66,13.73,19.43,16.43
03-Mar,19.7,41,19.02,23.76,22.13
04-Mar,20,42,21.6,29.7,27
05-May,21,29,22.3,28.7,27.66
06-Mar,22,38,16.8,22.5,22.1
07-Mar,21,46,17.6,20.2,17.4
08-Mar,20,74,18.93,21.6,20.6
09-Mar,22,32,16.2,23.1,17.9
10-Mar,21,48,14.3,22.4,16
11-Mar,21,66,7.2,13.4,8.9
12-Mar,20,60,8.7,15.6,12.3
13-Mar,21,47,12.4,18.5,21.6
14-Mar,21,36,11.8,18.9,22.9
15-Mar,22,30,18.6,26.4,30.6
16-Mar,22,43,19.4,27.3,33.8
17-Mar,21,37,20.6,30.4,36.87
18-Mar,21,35,22.3,32.9,39.4
19-Mar,23,34,24.5,32.46,38.7
20-Mar,22,58,21.7,27.4,26.3
21-Mar,21,76,17.5,21.8,18.2
22-Mar,20,82,7.3,12.6,12.8
23-Mar,20,83,4.3,8.2,11.6
24-Mar,19,73.66,10.6,15.6,10.04
25-Mar,20,60,13.8,14.7,18.6
26-Mar,21,37,14.7,23.1,20.4
27-Mar,22,38,17.9,29.2,28.9
28-Mar,22,60,15.4,26.8,23.6
29-Mar,23,30,12.3,24.3,16.5
30-Mar,23,32,16.4,20.9,19.6
31-Mar,22,33,15.3,17.6,16.4
