Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Apr,20,30,16.2,23.6,17
02-Apr,19.66,39.66,13.73,19.43,16.43
03-Apr,19.7,41,19.02,23.76,22.13
04-Apr,20,42,21.6,29.7,27
05-Apr,21,29,22.3,28.7,27.66
06-Apr,22,38,16.8,22.5,22.1
07-Apr,21,84,8.5,12.73,9.2
08-Apr,24,52,12.3,19.5,14.6
09-Apr,22,42,13.2,21.6,14.77
10-Apr,23,41,13.8,23.1,15.8
11-Apr,22,48,18.1,24.1,19
12-Apr,24,30,17.73,23.7,18.6
13-Apr,24,41,17.84,25.4,19.4
14-Apr,25,36,22.8,30.1,26.7
15-Apr,24,85,13.5,19.6,16.4
16-Apr,23,88,15.6,18.9,14.2
17-Apr,23,84,13.5,17.3,9.8
18-Apr,24,68,14.3,18.6,11
19-Apr,24,38,15.22,19.8,13.5
20-Apr,23,55,14.8,23.1,16
21-Apr,22.5,51,9.3,13.6,9.6
22-Apr,22,96,9.1,12.2,7.3
23-Apr,23,52,10.8,15.3,10.4
24-Apr,24,46,13.4,18.8,11.8
25-Apr,24,37,16.7,19.7,14.6
26-Apr,25,31,18.5,24.6,17.8
27-Apr,27,30,15.8,22.8,14.6
28-Apr,27,27,16.92,25.2,17.55
29-Apr,27.5,30,15.7,18.5,16.4
30-Apr,28,59,17.11,20.4,18.2
