Date,Temperature,Humidity,NO2,SO2,PM2.5
1 - Dec,15,31.4,29.3,40.2,100.6
2 - Dec,14.5,43.6,32.2,41.3,94.3
3 - Dec,11.43,65.03,49.9,55.94,133.97
4 - Dec,14,72.0,13.6,23.5,68.3
5 - Dec,13.33,80.0,13.64,22.46,53.2
6 - Dec,14,48.7,17.72,20.47,56.05
7 - Dec,13.33,51.66,20.04,20.79,69.7
8 - Dec,13.7,56.0,27.03,21.73,93.38
9 - Dec,13.5,50.33,28.35,22.39,100.34
10 - Dec,13,47.3,26.4,23.4,80.95
11 - Dec,12,43.5,25.8,21.5,85.7
12 - Dec,11.66,42.0,27.74,22.49,120.5
13 - Dec,11,49.66,25.51,21.92,96.06
14 - Dec,10,57.7,19.88,22.21,91.18
15 - Dec,9.7,46.66,23.97,22.39,129.58
16 - Dec,9,52.66,13.82,20.19,73.88
17 - Dec,9.5,64.0,14.6,21.3,73.4
18 - Dec,9.33,60.0,22.97,22.14,111.9
19 - Dec,9.5,56.3,27.8,23.5,149.4
20 - Dec,9.33,59.0,27.97,20.64,156.2
21 - Dec,11.33,52.66,43.44,19.88,198.96
22 - Dec,11,54.0,39.98,21.25,182.1
23 - Dec,10.66,57.66,39.43,21.78,156.53
24 - Dec,10,54.6,29.78,22.28,119.9
25 - Dec,9.5,63.0,29.14,22.31,142.8
26 - Dec,9.33,74.7,25.02,22.55,107.37
27 - Dec,8.33,79.0,17.55,22.64,57.11
28 - Dec,9.2,61.0,24.03,21.69,84.79
29 - Dec,9,63.0,20.9,19.99,87.6
30 - Dec,8.5,69.0,23.4,20.5,85.9
31 - Dec,8.3,58.0,22.9,21.74,86.2
