Date,Temperature,Humidity,NO2,SO2,PM2.5
01-Aug,33,65,17.93,24.83,25.6
02-Aug,33.7,62,20.6,28.7,27.9
03-Aug,34,58,18.7,29.6,28.33
04-Aug,33,48,17.6,28.77,26.8
05-Aug,34,50,19.6,30.6,29.3
06-Aug,35,51,18.9,25.8,20.6
07-Aug,29,57,18.3,26.1,21.9
08-Aug,32,61,17.6,24.6,22.5
09-Aug,31,65,17.5,26.4,21.3
10-Aug,32,96.7,17.3,21.16,20.03
11-Aug,31,80.7,19.54,24.03,30.6
12-Aug,31,85.33,21.53,25.03,29.56
13-Aug,33,63,24.9,33.6,31.3
14-Aug,35,59,26.4,36.7,32.6
15-Aug,34,43,20.6,27.3,40.8
16-Aug,33.7,63,18.8,33.6,41.6
17-Aug,35,70,21.6,24.9,23.4
18-Aug,34,82,20.1,25.1,20.6
19-Aug,35,70,21.6,24.5,19.2
20-Aug,34,82,18.2,23.21,17.66
21-Aug,33.7,56,18.4,23.6,18.1
22-Aug,33.30,63,19.7,24.9,18.72
23-Aug,34,59.33,15.3,18.27,17.52
24-Aug,33.7,68,19.19,24.4,27.8
25-Aug,32.7,88.33,19.5,26.8,28.5
26-Aug,30.66,90.7,18.66,23.93,15.25
27-Aug,29,92,12.86,16.64,5.46
28-Aug,33,88,17.3,22.4,12.6
29-Aug,31,86,16.8,20.6,11.7
30-Aug,32,80,17.9,22.6,13.2
31-Aug,33,70,18.6,24.6,14.91
